RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,year,month,year_month
32,18,Missouri,state,,2015-04-30,134659.15480611313,2015,4,2015-04
60,19,Wisconsin,state,,2015-04-30,162439.49987578916,2015,4,2015-04
10,20,Colorado,state,,2015-04-30,286332.711783657,2015,4,2015-04
31,21,Minnesota,state,,2015-04-30,194645.61565566476,2015,4,2015-04
51,22,South Carolina,state,,2015-04-30,154211.00233279463,2015,4,2015-04
4,23,Alabama,state,,2015-04-30,135646.63201035766,2015,4,2015-04
25,24,Louisiana,state,,2015-04-30,175323.52711274006,2015,4,2015-04
24,25,Kentucky,state,,2015-04-30,119318.86612716886,2015,4,2015-04
46,26,Oregon,state,,2015-04-30,258624.7523402064,2015,4,2015-04
45,27,Oklahoma,state,,2015-04-30,123441.41590902732,2015,4,2015-04
11,28,Connecticut,state,,2015-04-30,240556.59889874535,2015,4,2015-04
55,30,Utah,state,,2015-04-30,237333.04194373693,2015,4,2015-04
19,31,Iowa,state,,2015-04-30,134195.91456643536,2015,4,2015-04
42,32,Nevada,state,,2015-04-30,207156.7054426771,2015,4,2015-04
6,33,Arkansas,state,,2015-04-30,127224.8118161326,2015,4,2015-04
34,34,Mississippi,state,,2015-04-30,126047.2368692318,2015,4,2015-04
23,35,Kansas,state,,2015-04-30,127477.04626922875,2015,4,2015-04
41,36,New Mexico,state,,2015-04-30,170774.45430682908,2015,4,2015-04
38,37,Nebraska,state,,2015-04-30,142165.3446199209,2015,4,2015-04
20,38,Idaho,state,,2015-04-30,187715.87016886743,2015,4,2015-04
61,39,West Virginia,state,,2015-04-30,107666.3919883686,2015,4,2015-04
18,40,Hawaii,state,,2015-04-30,502716.9748594314,2015,4,2015-04
39,41,New Hampshire,state,,2015-04-30,227502.97686991128,2015,4,2015-04
28,42,Maine,state,,2015-04-30,186035.67595992165,2015,4,2015-04
50,43,Rhode Island,state,,2015-04-30,234700.9691216666,2015,4,2015-04
35,44,Montana,state,,2015-04-30,212333.09120526572,2015,4,2015-04
13,45,Delaware,state,,2015-04-30,237493.61012361155,2015,4,2015-04
52,46,South Dakota,state,,2015-04-30,169718.60210925524,2015,4,2015-04
37,47,North Dakota,state,,2015-04-30,218646.8661133992,2015,4,2015-04
3,48,Alaska,state,,2015-04-30,271374.18537989235,2015,4,2015-04
12,49,District of Columbia,state,,2015-04-30,477515.4088983466,2015,4,2015-04
58,50,Vermont,state,,2015-04-30,229619.581000772,2015,4,2015-04
62,51,Wyoming,state,,2015-04-30,221453.23467729648,2015,4,2015-04
9,0,California,state,,2015-05-31,417942.5554546593,2015,5,2015-05
54,1,Texas,state,,2015-05-31,168660.96169466633,2015,5,2015-05
14,2,Florida,state,,2015-05-31,180493.6886525804,2015,5,2015-05
43,3,New York,state,,2015-05-31,271647.76790049655,2015,5,2015-05
47,4,Pennsylvania,state,,2015-05-31,162414.40413869778,2015,5,2015-05
21,5,Illinois,state,,2015-05-31,164763.837345697,2015,5,2015-05
